declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,EVENT_ID,EPISODE_ID,BEGIN_DATE_TIME,END_DATE_TIME,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,EVENT_TYPE,MAGNITUDE,MAGNITUDE_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,943032,156253,2021-03-29 09:30:00,2021-03-29 15:00:00,Z,NWS forecast zone,44,BENNETT,High Wind,60.0,MG,0,0,,0.00K,Mesonet,"A significant wind event occurred from the early morning through the late day. Strong west to southwest winds developed during the early morning hours across parts of the Black Hills and foothills, when gusts of 60 to over 70 mph were recorded. A strong cold front then moved through from northwest to southeast during the morning and early afternoon. Wind gusts of 60 to over 80 mph developed and persisted through the late day. The strong winds downed some trees and caused isolated power outages in the Black Hills. The winds also helped spread significant wildfires near Mount Rushmore and just west of Rapid City.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,951101,157311,2021-03-29 21:34:00,2021-03-30 07:00:00,Z,NWS forecast zone,6,BROWN,High Wind,54.0,MG,0,0,0.00K,0.00K,Mesonet,"A strong cold front moved across central and northeastern South Dakota during the afternoon and evening of March 29th, bringing high winds of 35 to 45 mph with gusts of 60 to over 70 mph into the early morning on the 30th. These winds lofted dust across the area, reducing visibility in some cases, and blew over a semi-trailer in Grant County. Also, a large, wind-driven fire occurred in Jones County. Some of the strongest recorded wind gusts were 72 mph 11 miles S of Bullhead, at Cravens Corner, 2 miles ENE of Sisseton, and 6 miles SSW of Peever.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,953848,157803,2021-04-01 00:00:00,2021-04-30 23:59:00,Z,NWS forecast zone,6,BROWN,Drought,,,0,0,0.00K,0.00K,Drought Monitor,"Severe to extreme drought conditions continued throughout April, especially over north-central South Dakota. Temperatures started off April extraordinarily warm, with highs in the 70s and 80s. Temperatures cooled for the rest of the month, with averages around or just below normal. The cooler temperatures, combined with periodic precipitation events, prevented any large scale worsening or expansion of drought conditions. Precipitation throughout the month averaged one to one and a half inches below normal. 90-day deficits were as much as 2 to 4 inches, with 180-day deficits ranging from 2 to 4 inches as well. Soil moisture and stock ponds continued to be depleted. The Grassland Fire Danger reached high to very high several times throughout the month, with a handful of grass fires occurring. Several counties enacted burn bans.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,951099,157311,2021-03-29 13:49:00,2021-03-30 07:00:00,Z,NWS forecast zone,51,BUFFALO,High Wind,54.0,MG,0,0,0.00K,0.00K,Mesonet,"A strong cold front moved across central and northeastern South Dakota during the afternoon and evening of March 29th, bringing high winds of 35 to 45 mph with gusts of 60 to over 70 mph into the early morning on the 30th. These winds lofted dust across the area, reducing visibility in some cases, and blew over a semi-trailer in Grant County. Also, a large, wind-driven fire occurred in Jones County. Some of the strongest recorded wind gusts were 72 mph 11 miles S of Bullhead, at Cravens Corner, 2 miles ENE of Sisseton, and 6 miles SSW of Peever.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,942962,156253,2021-03-29 08:00:00,2021-03-29 17:00:00,Z,NWS forecast zone,12,BUTTE,High Wind,67.0,MG,0,0,,0.00K,Mesonet,"A significant wind event occurred from the early morning through the late day. Strong west to southwest winds developed during the early morning hours across parts of the Black Hills and foothills, when gusts of 60 to over 70 mph were recorded. A strong cold front then moved through from northwest to southeast during the morning and early afternoon. Wind gusts of 60 to over 80 mph developed and persisted through the late day. The strong winds downed some trees and caused isolated power outages in the Black Hills. The winds also helped spread significant wildfires near Mount Rushmore and just west of Rapid City.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,943045,156257,2021-03-30 14:00:00,2021-03-30 17:00:00,Z,NWS forecast zone,12,BUTTE,High Wind,58.0,MG,0,0,,0.00K,Mesonet,Strong northwesterly winds redeveloped across far northwestern South Dakota early in the morning and across the rest of northwestern South Dakota late in the morning. Wind gusts of 60 to near 70 mph were recorded across the area through the mid to late afternoon.,
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,951076,157311,2021-03-29 22:19:00,2021-03-30 07:00:00,Z,NWS forecast zone,4,CAMPBELL,High Wind,61.0,MG,0,0,0.00K,0.00K,Mesonet,"A strong cold front moved across central and northeastern South Dakota during the afternoon and evening of March 29th, bringing high winds of 35 to 45 mph with gusts of 60 to over 70 mph into the early morning on the 30th. These winds lofted dust across the area, reducing visibility in some cases, and blew over a semi-trailer in Grant County. Also, a large, wind-driven fire occurred in Jones County. Some of the strongest recorded wind gusts were 72 mph 11 miles S of Bullhead, at Cravens Corner, 2 miles ENE of Sisseton, and 6 miles SSW of Peever.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,953838,157803,2021-04-01 00:00:00,2021-04-30 23:59:00,Z,NWS forecast zone,4,CAMPBELL,Drought,,,0,0,0.00K,0.00K,Drought Monitor,"Severe to extreme drought conditions continued throughout April, especially over north-central South Dakota. Temperatures started off April extraordinarily warm, with highs in the 70s and 80s. Temperatures cooled for the rest of the month, with averages around or just below normal. The cooler temperatures, combined with periodic precipitation events, prevented any large scale worsening or expansion of drought conditions. Precipitation throughout the month averaged one to one and a half inches below normal. 90-day deficits were as much as 2 to 4 inches, with 180-day deficits ranging from 2 to 4 inches as well. Soil moisture and stock ponds continued to be depleted. The Grassland Fire Danger reached high to very high several times throughout the month, with a handful of grass fires occurring. Several counties enacted burn bans.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,943013,156253,2021-03-29 04:00:00,2021-03-29 17:00:00,Z,NWS forecast zone,28,CENTRAL BLACK HILLS,High Wind,52.0,MG,0,0,,0.00K,Mesonet,"A significant wind event occurred from the early morning through the late day. Strong west to southwest winds developed during the early morning hours across parts of the Black Hills and foothills, when gusts of 60 to over 70 mph were recorded. A strong cold front then moved through from northwest to southeast during the morning and early afternoon. Wind gusts of 60 to over 80 mph developed and persisted through the late day. The strong winds downed some trees and caused isolated power outages in the Black Hills. The winds also helped spread significant wildfires near Mount Rushmore and just west of Rapid City.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,951106,157311,2021-03-29 14:59:00,2021-03-30 07:00:00,Z,NWS forecast zone,19,CLARK,High Wind,55.0,MG,0,0,0.00K,0.00K,Mesonet,"A strong cold front moved across central and northeastern South Dakota during the afternoon and evening of March 29th, bringing high winds of 35 to 45 mph with gusts of 60 to over 70 mph into the early morning on the 30th. These winds lofted dust across the area, reducing visibility in some cases, and blew over a semi-trailer in Grant County. Also, a large, wind-driven fire occurred in Jones County. Some of the strongest recorded wind gusts were 72 mph 11 miles S of Bullhead, at Cravens Corner, 2 miles ENE of Sisseton, and 6 miles SSW of Peever.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,947175,156733,2021-04-01 00:00:00,2021-04-20 00:00:00,Z,NWS forecast zone,70,CLAY,Drought,,,0,0,,,Drought Monitor,Precipitation just a little below normal along with cooler than normal temperatures were enough to spur some minor improvement in drought conditions across southeast South Dakota.,"Severe (D2) drought conditions improved slightly to moderate (D1) conditions by mid-month with between 1 and 2 inches rainfall at the end of the first week of the month, along with cooler than normal temperatures."
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,951107,157311,2021-03-29 23:34:00,2021-03-30 07:00:00,Z,NWS forecast zone,20,CODINGTON,High Wind,54.0,MG,0,0,0.00K,0.00K,Mesonet,"A strong cold front moved across central and northeastern South Dakota during the afternoon and evening of March 29th, bringing high winds of 35 to 45 mph with gusts of 60 to over 70 mph into the early morning on the 30th. These winds lofted dust across the area, reducing visibility in some cases, and blew over a semi-trailer in Grant County. Also, a large, wind-driven fire occurred in Jones County. Some of the strongest recorded wind gusts were 72 mph 11 miles S of Bullhead, at Cravens Corner, 2 miles ENE of Sisseton, and 6 miles SSW of Peever.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,950941,157311,2021-03-29 11:58:00,2021-03-30 07:00:00,Z,NWS forecast zone,3,CORSON,High Wind,63.0,MG,0,0,0.00K,0.00K,Mesonet,"A strong cold front moved across central and northeastern South Dakota during the afternoon and evening of March 29th, bringing high winds of 35 to 45 mph with gusts of 60 to over 70 mph into the early morning on the 30th. These winds lofted dust across the area, reducing visibility in some cases, and blew over a semi-trailer in Grant County. Also, a large, wind-driven fire occurred in Jones County. Some of the strongest recorded wind gusts were 72 mph 11 miles S of Bullhead, at Cravens Corner, 2 miles ENE of Sisseton, and 6 miles SSW of Peever.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,953834,157803,2021-04-01 00:00:00,2021-04-30 23:59:00,Z,NWS forecast zone,3,CORSON,Drought,,,0,0,0.00K,0.00K,Drought Monitor,"Severe to extreme drought conditions continued throughout April, especially over north-central South Dakota. Temperatures started off April extraordinarily warm, with highs in the 70s and 80s. Temperatures cooled for the rest of the month, with averages around or just below normal. The cooler temperatures, combined with periodic precipitation events, prevented any large scale worsening or expansion of drought conditions. Precipitation throughout the month averaged one to one and a half inches below normal. 90-day deficits were as much as 2 to 4 inches, with 180-day deficits ranging from 2 to 4 inches as well. Soil moisture and stock ponds continued to be depleted. The Grassland Fire Danger reached high to very high several times throughout the month, with a handful of grass fires occurring. Several counties enacted burn bans.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,943015,156253,2021-03-29 08:00:00,2021-03-29 14:00:00,Z,NWS forecast zone,30,CUSTER CO PLAINS,High Wind,63.0,MG,0,0,,0.00K,Mesonet,"A significant wind event occurred from the early morning through the late day. Strong west to southwest winds developed during the early morning hours across parts of the Black Hills and foothills, when gusts of 60 to over 70 mph were recorded. A strong cold front then moved through from northwest to southeast during the morning and early afternoon. Wind gusts of 60 to over 80 mph developed and persisted through the late day. The strong winds downed some trees and caused isolated power outages in the Black Hills. The winds also helped spread significant wildfires near Mount Rushmore and just west of Rapid City.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,951105,157311,2021-03-29 22:39:00,2021-03-30 07:00:00,Z,NWS forecast zone,11,DAY,High Wind,58.0,MG,0,0,0.00K,0.00K,Mesonet,"A strong cold front moved across central and northeastern South Dakota during the afternoon and evening of March 29th, bringing high winds of 35 to 45 mph with gusts of 60 to over 70 mph into the early morning on the 30th. These winds lofted dust across the area, reducing visibility in some cases, and blew over a semi-trailer in Grant County. Also, a large, wind-driven fire occurred in Jones County. Some of the strongest recorded wind gusts were 72 mph 11 miles S of Bullhead, at Cravens Corner, 2 miles ENE of Sisseton, and 6 miles SSW of Peever.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,951115,157311,2021-03-29 12:48:00,2021-03-30 07:00:00,Z,NWS forecast zone,23,DEUEL,High Wind,54.0,MG,0,0,0.00K,0.00K,Mesonet,"A strong cold front moved across central and northeastern South Dakota during the afternoon and evening of March 29th, bringing high winds of 35 to 45 mph with gusts of 60 to over 70 mph into the early morning on the 30th. These winds lofted dust across the area, reducing visibility in some cases, and blew over a semi-trailer in Grant County. Also, a large, wind-driven fire occurred in Jones County. Some of the strongest recorded wind gusts were 72 mph 11 miles S of Bullhead, at Cravens Corner, 2 miles ENE of Sisseton, and 6 miles SSW of Peever.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,950942,157311,2021-03-29 11:24:00,2021-03-30 07:00:00,Z,NWS forecast zone,15,DEWEY,High Wind,58.0,MG,0,0,0.00K,0.00K,Mesonet,"A strong cold front moved across central and northeastern South Dakota during the afternoon and evening of March 29th, bringing high winds of 35 to 45 mph with gusts of 60 to over 70 mph into the early morning on the 30th. These winds lofted dust across the area, reducing visibility in some cases, and blew over a semi-trailer in Grant County. Also, a large, wind-driven fire occurred in Jones County. Some of the strongest recorded wind gusts were 72 mph 11 miles S of Bullhead, at Cravens Corner, 2 miles ENE of Sisseton, and 6 miles SSW of Peever.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,953835,157803,2021-04-01 00:00:00,2021-04-30 23:59:00,Z,NWS forecast zone,15,DEWEY,Drought,,,0,0,0.00K,0.00K,Drought Monitor,"Severe to extreme drought conditions continued throughout April, especially over north-central South Dakota. Temperatures started off April extraordinarily warm, with highs in the 70s and 80s. Temperatures cooled for the rest of the month, with averages around or just below normal. The cooler temperatures, combined with periodic precipitation events, prevented any large scale worsening or expansion of drought conditions. Precipitation throughout the month averaged one to one and a half inches below normal. 90-day deficits were as much as 2 to 4 inches, with 180-day deficits ranging from 2 to 4 inches as well. Soil moisture and stock ponds continued to be depleted. The Grassland Fire Danger reached high to very high several times throughout the month, with a handful of grass fires occurring. Several counties enacted burn bans.",
SD-EO-2021-07,2021-07,Noem,State of Emergency - Fire,2021-03-30,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2021-07.PDF,951079,157311,2021-03-29 21:30:00,2021-03-30 07:00:00,Z,NWS forecast zone,10,EDMUNDS,High Wind,63.0,MG,0,0,0.00K,0.00K,Mesonet,"A strong cold front moved across central and northeastern South Dakota during the afternoon and evening of March 29th, bringing high winds of 35 to 45 mph with gusts of 60 to over 70 mph into the early morning on the 30th. These winds lofted dust across the area, reducing visibility in some cases, and blew over a semi-trailer in Grant County. Also, a large, wind-driven fire occurred in Jones County. Some of the strongest recorded wind gusts were 72 mph 11 miles S of Bullhead, at Cravens Corner, 2 miles ENE of Sisseton, and 6 miles SSW of Peever.",
